px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0
1.55944	-0.138501	0	0	0	1.55944	-0.138501	2.09897	0.0522228	2.19595	0.109339	0
1.5708	0.344604	2.12229	0	0	1.81209	0.0474826	2.09897	0.0522228	2.19595	0.109339	5.26499
3.86878	-0.13401	2.22386	-0.350705	-0.141809	3.89093	-0.134166	4.29136	0.215312	2.28434	0.226323	1.38534
3.95	-0.112923	2.34826	-0.0834681	0.15852	4.19528	0.218461	4.29136	0.215312	2.28434	0.226323	9.43761
6.82552	0.416464	2.47647	0.778533	0.619593	6.86352	0.416818	6.56942	0.496096	2.36382	0.348847	2.8423
6.74547	0.415513	2.51457	0.489497	0.0726038	6.43926	0.472879	6.56942	0.496096	2.36382	0.348847	2.92921
9.06719	0.594073	2.31224	-0.10781	-0.376914	9.07733	0.593211	8.92437	0.89924	2.43359	0.474526	1.16175
9.05732	0.598932	2.39115	-0.033368	-0.237401	8.89749	0.886982	8.92437	0.89924	2.43359	0.474526	2.28524
11.5415	1.66601	2.40303	0.825805	0.486293	11.5755	1.6669	11.3468	1.427	2.49328	0.600781	2.17433
11.5164	1.6621	2.50493	0.554043	-0.0410415	11.4447	1.42958	11.3468	1.427	2.49328	0.600781	2.21428
13.6086	2.31289	2.36593	0.17125	-0.266301	13.5921	2.31191	13.827	2.07904	2.5429	0.724947	0.537692
13.6271	2.31173	2.45058	0.160827	-0.273686	13.6572	1.99915	13.827	2.07904	2.5429	0.724947	1.04113
16.584	2.90255	2.60819	0.298978	0.00779823	16.6456	2.903	16.3554	2.85243	2.58284	0.844365	2.85446
16.5304	2.9018	2.68554	0.260306	-0.0615323	16.282	2.84648	16.3554	2.85243	2.58284	0.844365	1.19823
18.9936	3.70529	2.74038	0.330732	0.0266755	19.0106	3.70555	18.923	3.74161	2.61382	0.95648	0.262325
19.0643	3.70625	2.70725	0.340186	0.0564869	19.363	3.87122	18.923	3.74161	2.61382	0.95648	1.52263
21.3224	4.73185	2.73967	0.479235	0.112276	21.3312	4.73205	21.5215	4.73855	2.63679	1.05891	0.0823531
21.3843	4.73194	2.82573	0.403155	-0.0121013	21.6213	4.74762	21.5215	4.73855	2.63679	1.05891	1.05122
24.0497	5.56944	2.89026	0.210704	-0.128456	24.0787	5.56968	24.1437	5.83295	2.65286	1.14952	0.523662
24.16	5.57101	3.01871	0.183922	-0.137324	24.5601	5.92334	24.1437	5.83295	2.65286	1.14952	3.59984
26.6043	6.9605	3.01504	0.704879	0.29741	26.6053	6.96102	26.7833	7.01246	2.6632	1.22647	0.624195
26.594	6.95946	3.0961	0.583292	0.0575689	26.5419	6.90075	26.7833	7.01246	2.6632	1.22647	0.513265
29.539	8.08735	3.15945	0.216196	-0.224481	29.5864	8.08789	29.4352	8.26299	2.66893	1.28822	1.20286
29.5333	8.08744	3.14863	0.216394	-0.226763	29.4716	8.24519	29.4352	8.26299	2.66893	1.28822	0.0428473
31.9454	9.87953	3.11851	0.861832	0.348108	31.9416	9.88017	32.0955	9.56901	2.67104	1.33358	1.11443
31.9007	9.87804	3.15567	0.773574	0.173334	31.7928	9.49891	32.0955	9.56901	2.67104	1.33358	0.895148
34.6457	10.7016	2.77501	0.156919	-0.351513	34.6157	10.6988	34.7608	10.9139	2.67035	1.3617	3.25222
34.7371	10.7036	2.90186	0.180612	-0.260942	35.0599	10.9953	34.7608	10.9139	2.67035	1.3617	2.83065
37.1381	12.0877	2.86995	0.690536	0.246468	37.1404	12.0883	37.4287	12.2803	2.66736	1.37209	0.909074
37.2161	12.0877	2.99395	0.549086	-0.0362872	37.4973	12.2943	37.4287	12.2803	2.66736	1.37209	2.34956
40.2536	13.4654	3.18664	0.283919	-0.190133	40.3285	13.4666	40.0971	13.6505	2.66232	1.36458	2.7524
40.2001	13.4648	3.13932	0.296125	-0.188346	39.9009	13.6243	40.0971	13.6505	2.66232	1.36458	0.830792
42.7618	14.829	3.1457	0.582775	0.126043	42.7664	14.8294	42.7638	15.0065	2.65515	1.33938	0.362439
42.7396	14.8284	3.19755	0.539439	0.0384824	42.5714	14.9817	42.7638	15.0065	2.65515	1.33938	0.313471
45.336	16.5519	3.27036	0.597322	0.0517459	45.3572	16.5524	45.4265	16.3307	2.64546	1.297	0.372052
45.3886	16.5526	3.28313	0.577978	0.0343983	45.649	16.5213	45.4265	16.3307	2.64546	1.297	0.747213
48.1565	17.284	3.20633	0.113759	-0.297304	48.1541	17.2835	48.0823	17.6063	2.6326	1.23832	0.518069
48.1342	17.2834	3.12987	0.0615866	-0.411797	47.9331	17.5349	48.0823	17.6063	2.6326	1.23832	0.448858
50.6466	19.071	2.93297	0.791418	0.334176	50.6228	19.0721	50.7276	18.8172	2.61569	1.16454	2.81183
50.6166	19.0697	3.00245	0.679875	0.120195	50.5737	18.7834	50.7276	18.8172	2.61569	1.16454	0.667362
53.6843	19.8981	2.9709	-0.0118391	-0.421706	53.7268	19.8982	53.3577	19.9486	2.59372	1.07716	1.98217
53.6553	19.8978	2.97495	0.0168633	-0.379368	53.5277	19.862	53.3577	19.9486	2.59372	1.07716	0.247054
56.072	21.0912	2.74135	0.504688	0.184246	56.0322	21.0923	55.9669	20.9874	2.56561	0.978022	2.50084
56.0338	21.0903	2.75557	0.484687	0.153456	55.867	20.985	55.9669	20.9874	2.56561	0.978022	0.522777
58.6428	21.7821	2.77459	0.106798	-0.200638	58.6632	21.7821	58.5483	21.9225	2.53033	0.869205	0.622762
58.6422	21.7827	2.84947	0.164399	-0.086441	58.5799	21.9815	58.5483	21.9225	2.53033	0.869205	0.282411
60.8799	22.7873	2.78718	0.522036	0.205261	60.8722	22.7876	61.0941	22.7449	2.48697	0.753031	0.372863
60.8522	22.7868	2.79262	0.515964	0.192725	60.7648	22.6398	61.0941	22.7449	2.48697	0.753031	0.243982
63.3709	23.4072	2.7648	0.107574	-0.205712	63.3821	23.4069	63.5955	23.4479	2.43482	0.631987	0.579544
63.4578	23.4084	2.75852	0.0608585	-0.25485	63.7478	23.7442	63.5955	23.4479	2.43482	0.631987	2.05973
66.2976	23.9954	2.82472	0.332852	0.0987983	66.3403	23.9959	66.0431	24.0276	2.37349	0.508655	1.35969
66.2144	23.9944	2.6295	0.312386	0.073675	65.8838	23.9541	66.0431	24.0276	2.37349	0.508655	2.69655
68.2701	24.3585	2.59974	0.139527	-0.0894628	68.2621	24.3582	68.4273	24.4824	2.30293	0.385623	0.175398
68.3559	24.3599	2.63196	0.130643	-0.0825471	68.6759	24.6059	68.4273	24.4824	2.30293	0.385623	2.00231
70.8086	24.8841	2.67015	0.277504	0.0710654	70.8275	24.8844	70.7385	24.8137	2.22347	0.265395	0.300387
70.7769	24.8835	2.52896	0.249837	0.0228227	70.7403	24.6728	70.7385	24.8137	2.22347	0.265395	0.860349
72.8993	24.7141	2.50943	-0.232257	-0.312047	72.8923	24.7135	72.9675	25.025	2.13584	0.150292	0.447946
72.9481	24.715	2.52962	-0.22143	-0.281384	73.0732	25.0343	72.9675	25.025	2.13584	0.150292	0.679752
75.0613	25.2575	2.17607	0.306785	0.253999	75.0021	25.2595	75.1062	25.1224	2.04114	0.0423626	3.22691
75.0378	25.2572	2.14402	0.300021	0.248055	74.9748	25.1378	75.1062	25.1224	2.04114	0.0423626	0.162144
77.1165	24.9307	2.13892	-0.41779	-0.391134	77.1225	24.9297	77.1475	25.1137	1.9408	-0.0566979	1.37028
77.1389	24.9314	2.15917	-0.3926	-0.333487	77.1386	25.2948	77.1475	25.1137	1.9408	-0.0566979	0.209473
79.1324	25.0344	1.86733	0.145682	0.246547	79.1089	25.0369	79.0861	25.0086	1.83649	-0.145607	2.91997
79.1335	25.0345	1.85983	0.142005	0.238788	79.1718	24.9698	79.0861	25.0086	1.83649	-0.145607	0.00978997
80.8064	24.8695	1.87274	-0.164558	-0.120918	80.8074	24.8688	80.9183	24.8178	1.73008	-0.223536	0.452065
80.8632	24.8698	1.85269	-0.222732	-0.215336	81.1423	24.8704	80.9183	24.8178	1.73008	-0.223536	1.04202
82.5984	24.639	1.8734	-0.100397	0.0103625	82.6216	24.6393	82.6423	24.5525	1.6235	-0.29012	0.340199
82.5793	24.6385	1.80857	-0.173086	-0.123229	82.5085	24.8114	82.6423	24.5525	1.6235	-0.29012	0.305163
84.1694	24.55	1.78756	-0.00912168	0.066181	84.1733	24.5504	84.2584	24.2245	1.51869	-0.345444	0.151129
84.1718	24.5499	1.74527	-0.0448493	-0.00250128	84.2898	24.3312	84.2584	24.2245	1.51869	-0.345444	0.166461
85.6445	23.8089	1.7705	-0.69364	-0.428084	85.6378	23.808	85.7688	23.8451	1.41749	-0.390006	0.6899
85.7037	23.8109	1.82834	-0.564928	-0.189014	85.9743	23.7547	85.7688	23.8451	1.41749	-0.390006	1.1702
87.0112	23.5237	1.44172	-0.210577	0.176854	86.9449	23.527	87.1776	23.4252	1.32159	-0.424654	3.13771
87.0958	23.5252	1.45281	-0.227681	0.0942259	87.6171	23.5127	87.1776	23.4252	1.32159	-0.424654	3.35235
88.7404	22.7882	1.69198	-0.611368	-0.237352	88.8227	22.7869	88.4904	22.9745	1.23247	-0.450514	2.45771
88.6981	22.7882	1.68697	-0.575363	-0.156478	88.4191	22.9498	88.4904	22.9745	1.23247	-0.450514	0.733847
89.6007	22.305	1.3074	-0.515255	-0.000386576	89.4967	22.3082	89.7145	22.5017	1.15138	-0.468904	3.65739
89.6301	22.3053	1.30715	-0.541776	-0.0693617	89.7821	22.4826	89.7145	22.5017	1.15138	-0.468904	0.508667
90.5295	21.6674	1.26541	-0.63614	-0.0826018	90.5133	21.6677	90.858	22.0141	1.07929	-0.481241	0.0677303
90.6082	21.669	1.32521	-0.521468	0.0669753	90.8419	22.0974	90.858	22.0141	1.07929	-0.481241	1.66238
91.7071	21.1153	1.3469	-0.402223	0.0988869	91.7178	21.1152	91.9302	21.5174	1.01698	-0.488963	0.0299519
91.7624	21.1156	1.33669	-0.460707	-0.0422277	92.0492	21.5289	91.9302	21.5174	1.01698	-0.488963	1.98864
92.8689	20.9524	1.25182	-0.0179218	0.280299	92.8599	20.9537	92.9411	21.016	0.964993	-0.493443	0.57397
92.9261	20.9533	1.19177	-0.0473847	0.190936	93.3186	21.0712	92.9411	21.016	0.964993	-0.493443	2.73211
93.5462	20.2179	1.02611	-0.968625	-0.514893	93.4668	20.2155	93.9011	20.513	0.92369	-0.495918	3.71522
93.5939	20.2216	1.10508	-0.764153	-0.132991	93.7423	20.5071	93.9011	20.513	0.92369	-0.495918	1.78464
95.1669	19.6595	1.44793	0.175227	0.573464	95.3229	19.6585	94.8209	20.01	0.893308	-0.497439	7.1787
95.0229	19.6604	1.22541	0.00774107	0.448484	94.494	19.8854	94.8209	20.01	0.893308	-0.497439	6.43057
95.5822	19.6992	1.04337	0.371804	0.426574	95.5039	19.6984	95.7116	19.5078	0.87398	-0.498816	1.88764
95.5719	19.6994	0.975402	0.383783	0.460361	95.6097	19.5804	95.7116	19.5078	0.87398	-0.498816	0.306353
96.3148	19.1654	0.646789	-0.704531	-0.543216	96.264	19.1597	96.5842	19.0066	0.865773	-0.50059	6.31009
96.3377	19.168	0.731735	-0.570436	-0.317605	96.559	18.8688	96.5842	19.0066	0.865773	-0.50059	1.33509
97.3684	18.7279	1.07741	-0.0709636	0.236211	97.5286	18.727	97.45	18.506	0.868716	-0.503009	5.3465
97.3649	18.728	1.04714	-0.0988929	0.1953	97.5333	18.1735	97.45	18.506	0.868716	-0.503009	0.201537
98.2103	18.3749	1.0609	-0.438554	-0.130328	98.2105	18.3739	98.3198	18.0049	0.882804	-0.506023	0.374658
98.2339	18.3747	1.05304	-0.475	-0.19481	98.4162	18.1556	98.3198	18.0049	0.882804	-0.506023	0.304565
99.0055	17.3596	1.237	-1.37157	-0.656763	99.0363	17.357	99.2049	17.503	0.908006	-0.509278	1.55536
99.0582	17.3654	1.25964	-0.912735	0.108935	98.9782	17.2949	99.2049	17.503	0.908006	-0.509278	3.41625
100.005	16.9844	1.03904	-0.178809	0.526836	99.9969	16.9882	100.117	17.0001	0.944242	-0.512134	2.07664
100.066	16.9855	1.03663	-0.174377	0.484046	100.441	16.9521	100.117	17.0001	0.944242	-0.512134	1.83447
101.158	16.5387	1.14354	-0.566203	-0.0962968	101.204	16.5368	101.066	16.497	0.991362	-0.513687	1.55395
101.159	16.539	1.15574	-0.543477	-0.0570741	101.169	16.4353	101.066	16.497	0.991362	-0.513687	0.0191825
102.34	16.3979	1.17425	0.174979	0.456092	102.387	16.3992	102.063	15.9949	1.04911	-0.512803	1.41943
102.274	16.3976	1.10163	0.12866	0.430083	102.081	15.8359	102.063	15.9949	1.04911	-0.512803	1.26665
103.06	15.358	0.877798	-1.45041	-0.838997	103.003	15.353	103.119	15.4967	1.11708	-0.508169	7.76776
102.952	15.3656	0.872347	-0.916314	0.0858952	102.776	15.1195	103.119	15.4967	1.11708	-0.508169	7.6081
104.022	15.2664	0.841768	0.576115	1.02182	104.114	15.2708	104.244	15.0064	1.19469	-0.498349	5.16988
103.991	15.2625	0.91153	0.438756	0.797387	103.905	14.7607	104.244	15.0064	1.19469	-0.498349	2.05276
105.44	14.4478	0.676132	-1.94485	-1.15496	105.541	14.4413	105.447	14.5293	1.28111	-0.481861	14.796
105.248	14.4533	0.50868	-1.14027	-0.0471964	105.316	14.0026	105.447	14.5293	1.28111	-0.481861	14.8933
106.487	14.0451	0.91909	1.57205	1.74216	106.831	14.0482	106.737	14.0724	1.37529	-0.457255	21.2212
106.332	14.0383	0.819089	0.539241	0.709362	106.439	14.2401	106.737	14.0724	1.37529	-0.457255	6.16729
107.875	13.6685	0.808004	-1.58553	-1.03392	108.084	13.6604	108.122	13.644	1.47592	-0.423202	20.5101
107.744	13.6783	0.760393	-0.668973	0.372881	108.131	13.6844	108.122	13.644	1.47592	-0.423202	16.8208
109.268	13.5709	1.33572	0.94192	1.26418	109.534	13.5714	109.606	13.2536	1.58144	-0.378583	14.3186
109.259	13.5645	1.36748	0.661898	0.745174	109.388	13.1556	109.606	13.2536	1.58144	-0.378583	2.07436
111.087	12.5944	0.527537	-1.15022	-0.757694	111.063	12.5814	111.196	12.9118	1.69008	-0.322574	27.8366
111.071	12.6006	0.709605	-0.553203	0.245799	111.426	12.9557	111.196	12.9118	1.69008	-0.322574	20.1128
112.627	12.4865	1.34627	0.94874	1.10553	112.913	12.4877	112.893	12.6299	1.7999	-0.254723	16.6082
112.626	12.4758	1.42323	0.530772	0.328774	112.797	12.8241	112.893	12.6299	1.7999	-0.254723	5.06829
114.648	12.5507	1.62008	-0.596865	-0.66635	114.801	12.5506	114.699	12.4195	1.90891	-0.175007	8.37282
114.669	12.5544	1.72462	-0.340643	-0.176989	114.916	12.3187	114.699	12.4195	1.90891	-0.175007	2.55864
116.589	12.104	1.92949	-0.109878	0.114579	116.687	12.1036	116.611	12.2921	2.01507	-0.0838683	2.55943
116.654	12.1045	2.02567	-0.03366	0.233577	116.871	12.0659	116.611	12.2921	2.01507	-0.0838683	1.15535
118.899	12.0009	2.16805	-0.0208338	0.080437	118.953	12.0009	118.628	12.2586	2.11647	0.0177712	1.3687
118.899	12.001	2.18512	-0.0129099	0.0936786	118.85	12.4063	118.628	12.2586	2.11647	0.0177712	0.0288804
120.699	12.2916	2.16945	0.278998	0.225352	120.695	12.2918	120.743	12.3289	2.21139	0.128528	0.0688096
120.743	12.2916	2.21081	0.264493	0.195704	120.934	12.1905	120.743	12.3289	2.21139	0.128528	0.498898
123.486	12.829	2.41354	0.0426126	-0.0836122	123.568	12.8297	122.95	12.5114	2.29835	0.246599	3.79017
123.421	12.8288	2.40234	0.063543	-0.0688341	123.142	12.7694	122.95	12.5114	2.29835	0.246599	1.09526
